ProductID,ProductName,Category,UnitPrice,StockQuantity,SupplierID
1,Laptop 1,Electronics,695,175,23
2,Smartphone 2,Electronics,167,1925,42
3,Bluetooth Speaker 3,Electronics,2978,1512,22
4,Smartwatch 4,Electronics,2601,1092,21
5,Printer 5,Electronics,4339,986,27
6,Headphones 6,Electronics,896,868,31
7,Monitor 7,Electronics,2812,1127,6
8,Keyboard 8,Electronics,1191,1404,27
9,Mouse 9,Electronics,1860,708,40
10,Webcam 10,Electronics,773,167,34
11,Laptop 11,Electronics,274,1673,12
12,Smartphone 12,Electronics,4677,361,45
13,Bluetooth Speaker 13,Electronics,4258,495,7
14,Smartwatch 14,Electronics,4704,1106,10
15,Printer 15,Electronics,2098,1744,45
16,Headphones 16,Electronics,4799,1403,17
17,Monitor 17,Electronics,4465,580,26
18,Keyboard 18,Electronics,1623,346,21
19,Mouse 19,Electronics,1878,1812,28
20,Webcam 20,Electronics,1967,1779,46
21,Laptop 21,Electronics,4284,1184,2
22,Smartphone 22,Electronics,2076,1009,43
23,Bluetooth Speaker 23,Electronics,3794,234,1
24,Smartwatch 24,Electronics,951,454,36
25,Printer 25,Electronics,4835,1934,26
26,Headphones 26,Electronics,2089,971,29
27,Monitor 27,Electronics,59,742,21
28,Keyboard 28,Electronics,310,1361,11
29,Mouse 29,Electronics,1723,51,40
30,Webcam 30,Electronics,2269,689,11
31,Laptop 31,Electronics,2110,304,36
32,Smartphone 32,Electronics,3763,1348,49
33,Bluetooth Speaker 33,Electronics,1669,448,39
34,Smartwatch 34,Electronics,370,1520,40
35,Printer 35,Electronics,1392,305,35
36,Headphones 36,Electronics,2426,1187,34
37,Monitor 37,Electronics,2882,1467,47
38,Keyboard 38,Electronics,2874,1062,24
39,Mouse 39,Electronics,2044,37,22
40,Webcam 40,Electronics,3008,788,5
41,Laptop 41,Electronics,2088,609,33
42,Smartphone 42,Electronics,3540,1414,36
43,Bluetooth Speaker 43,Electronics,3727,1218,47
44,Smartwatch 44,Electronics,1168,1029,20
45,Printer 45,Electronics,1654,213,19
46,Headphones 46,Electronics,4077,521,35
47,Monitor 47,Electronics,285,1007,43
48,Keyboard 48,Electronics,2019,1156,17
49,Mouse 49,Electronics,4479,133,45
50,Webcam 50,Electronics,1958,1265,43
51,T-Shirt 1,Clothing,425,1721,34
52,Jeans 2,Clothing,3580,966,9
53,Jacket 3,Clothing,2685,850,26
