SupplierID,SupplierName,City,Phone
1,Metro Traders,Pune,9.16661E+11
2,Global Traders,Chennai,9.19854E+11
3,Premium Traders,Pune,9.19504E+11
4,Fresh Traders,Pune,9.1799E+11
5,Elite Traders,Pune,9.16964E+11
6,Royal Traders,Bangalore,9.18675E+11
7,Sunrise Traders,Bangalore,9.16961E+11
8,City Traders,Delhi,9.19212E+11
9,Urban Traders,Mumbai,9.18306E+11
10,Galaxy Traders,Chennai,9.1615E+11
11,Bright Traders,Chennai,9.18547E+11
12,Quality Traders,Chennai,9.19844E+11
13,Techno Traders,Delhi,9.18491E+11
14,Home Traders,Bangalore,9.19694E+11
15,Fashion Traders,Delhi,9.16393E+11
16,Mega Traders,Chennai,9.17965E+11
17,Super Traders,Mumbai,9.19769E+11
18,Smart Traders,Pune,9.1768E+11
19,Value Traders,Bangalore,9.17141E+11
20,Daily Traders,Bangalore,9.17172E+11
21,Prime Traders,Delhi,9.16556E+11
22,Eco Traders,Bangalore,9.18047E+11
23,Classic Traders,Chennai,9.19817E+11
24,Wonder Traders,Chennai,9.16191E+11
25,Modern Traders,Delhi,9.1966E+11
26,Best Traders,Chennai,9.19703E+11
27,Perfect Traders,Mumbai,9.16152E+11
28,Universal Traders,Delhi,9.19477E+11
29,Supreme Traders,Mumbai,9.17413E+11
30,Dynamic Traders,Pune,9.18814E+11
31,Evergreen Traders,Mumbai,9.18366E+11
32,Star Traders,Pune,9.19158E+11
33,Crystal Traders,Pune,9.16374E+11
34,Heritage Traders,Mumbai,9.17209E+11
35,Choice Traders,Delhi,9.17754E+11
36,Trust Traders,Chennai,9.17085E+11
37,Swift Traders,Chennai,9.17601E+11
38,UrbanPro Traders,Pune,9.16022E+11
39,Future Traders,Pune,9.17116E+11
40,Excel Traders,Delhi,9.18988E+11
41,Cosmic Traders,Bangalore,9.19107E+11
42,Vivid Traders,Mumbai,9.1621E+11
43,Omni Traders,Pune,9.1813E+11
44,Silver Traders,Chennai,9.18288E+11
45,Green Traders,Delhi,9.16348E+11
46,Reliable Traders,Mumbai,9.16946E+11
47,Matrix Traders,Delhi,9.1647E+11
48,Nova Traders,Mumbai,9.18935E+11
49,Ocean Traders,Mumbai,9.19842E+11
50,RoyalGold Traders,Pune,9.16327E+11
